Quito,-0.22,-78.5125
Minsk,53.9,27.5667
Tijuana,32.525,-117.0333
Bamenda,5.9614,10.1517
Indore,22.7167,75.8472
Sanliurfa,37.1583,38.7917
Vienna,48.2083,16.3725
Peshawar,34.0144,71.5675
Sapporo,43.0667,141.35
Pingxiang,27.6333,113.85
Aleppo,36.2,37.16
Almaty,43.2775,76.8958
San Juan,18.3985,-66.061
Yinchuan,38.4795,106.2254
Bucharest,44.4325,26.1039
Curitiba,-25.4297,-49.2711
Multan,30.1978,71.4697
Warsaw,52.23,21.0111
Meru,0.05,37.65
Bhopal,23.25,77.4167
Denpasar,-8.65,115.2167
Adana,37,35.3213
Damascus,33.5131,36.2919
Brussels,50.8467,4.3525
Diyarbakir,37.91,40.24
San Jose,37.3012,-121.848
Montevideo,-34.8836,-56.1819
Mosul,36.34,43.13
Kampala,0.3136,32.5811
Patna,25.6,85.1
Tegucigalpa,14.1,-87.2167
Conakry,9.5092,-13.7122
Recife,-8.05,-34.9
Novosibirsk,55.0333,82.9167
Semarang,-6.9667,110.4167
Ludhiana,30.91,75.85
Stockholm,59.3294,18.0686
Agra,27.18,78.02
Puebla,19.0333,-98.1833
Madurai,9.9252,78.1198
Cordoba,-31.4167,-64.1833
Shiraz,29.61,52.5425
Jamshedpur,22.7925,86.1842
Tabriz,38.0814,46.3006
Sofia,42.7,23.33
San Jose,9.9325,-84.08
Palembang,-2.9861,104.7556
Zhangjiajie,29.1255,110.4844
Panama City,8.9833,-79.5167
Belem,-1.4558,-48.5039
Gwangju,35.1653,126.8486
Nasik,20,73.78
Porto Alegre,-30.0331,-51.23
Valencia,10.1667,-68
Abu Dhabi,24.4667,54.3667
Daejeon,36.351,127.385
Dakar,14.6928,-17.4467
Kharkiv,49.9925,36.2311
Khulna,22.8167,89.55
Ulaanbaatar,47.9203,106.9172
Goiania,-16.6667,-49.25
Belgrade,44.82,20.46
Aurangabad,19.88,75.32
Copenhagen,55.6761,12.5683
Yangquan,37.8576,113.5762
Auckland,-36.8406,174.74
Makassar,-5.1619,119.4362
Santiago,19.4572,-70.6889
Rajkot,22.3,70.7833
Prague,50.0875,14.4214
Samsun,41.2903,36.3336
Barranquilla,10.9833,-74.8019
Mandalay,21.9831,96.0844
Yushu,44.8249,126.5451
Adelaide,-34.9275,138.6
Tripoli,32.8872,13.1914
Porto,41.1621,-8.622
Jabalpur,23.1667,79.9333
Mombasa,-4.05,39.6667
Varanasi,25.3189,83.0128
Maiduguri,11.8333,13.15
Chiang Mai,18.7953,98.9986
Doha,25.2867,51.5333
Maputo,-25.9667,32.5833
Srinagar,34.09,74.79
Omsk,54.9667,73.3833
Dublin,53.35,-6.2603
Bandar Lampung,-5.45,105.2667
Samara,53.2028,50.1408
Kigali,-1.9536,30.0606
Bafoussam,5.4667,10.4167
Amritsar,31.64,74.86
Tbilisi,41.7225,44.7925
Guwahati,26.1722,91.7458
Ufa,54.7261,55.9475
Sao Luis,-2.5283,-44.3044
Sevilla,37.24,-5.99
Mexicali,32.6633,-115.4678
Tamale,9.4075,-0.8533
Bujumbura,-3.3833,29.3667
Bishkek,42.8747,74.6122
Yerevan,40.1814,44.5144
Ranchi,23.36,85.33
Gwalior,26.2215,78.178
Oslo,59.9133,10.7389
